time,Q,s,T
2009-05-23,-3.284754,0.0,0.0
2009-05-24,-2.888318,0.0,0.0
2009-05-25,-2.491883,0.0,0.0
2009-05-26,-2.916635,0.0,0.0
2009-05-27,-3.171487,0.0,0.0
2009-05-28,-3.14317,0.0,0.0
2009-05-29,-3.199804,0.0,0.0
2009-05-30,-3.029903,0.0,0.0
2009-05-31,-2.944952,0.0,0.0
2009-06-01,-2.860002,0.0,0.0
2009-06-02,-2.746734,0.0,0.0
2009-06-03,-2.746734,0.0,0.0
2009-06-04,-3.029903,0.0,0.0
2009-06-05,-3.086536,0.0,0.0
2009-06-06,-2.860002,0.0,0.0
2009-06-07,-2.718417,0.0,0.0
2009-06-08,-2.718417,0.0,0.0
2009-06-09,-2.888318,0.0,0.0
2009-06-10,-2.831685,0.0,0.0
2009-06-11,-2.491883,0.0,0.0
2009-06-12,-2.6901,0.0,0.0
2009-06-13,-2.463566,0.0,0.0
2009-06-14,-2.491883,0.0,0.0
2009-06-15,-2.491883,0.0,0.0
2009-06-16,-2.576833,0.0,0.0
2009-06-17,-2.718417,0.0,0.0
2009-06-18,-2.916635,0.0,0.0
2009-06-19,-2.860002,0.0,0.0
2009-06-20,-2.718417,0.0,0.0
2009-06-21,-2.746734,0.0,0.0
2009-06-22,-2.973269,0.0,0.0
2009-06-23,-2.888318,0.0,0.0
2009-06-24,-2.06713,0.0,0.0
2009-06-25,-2.633467,0.0,0.0
2009-06-26,-2.576833,0.0,0.0
2009-06-27,-2.520199,0.0,0.0
2009-06-28,-2.718417,0.0,0.0
2009-06-29,-1.783961,0.0,0.0
2009-06-30,-1.472476,0.0,0.0
2009-07-01,-2.15208,0.0,0.0
2009-07-02,-2.350298,0.0,0.0
2009-07-03,-2.406932,0.0,0.0
2009-07-04,-2.208714,0.0,0.0
2009-07-05,-1.982179,0.0,0.0
2009-07-06,-1.953862,0.0,0.0
2009-07-07,-2.661784,0.0,0.0
2009-07-08,-2.746734,0.0,0.0
2009-07-09,-2.6901,0.0,0.0
2009-07-10,-2.718417,0.0,0.0
2009-07-11,-2.60515,0.0,0.0
2009-07-12,-2.350298,0.0,0.0
2009-07-13,-2.208714,0.0,0.0
2009-07-14,-2.491883,0.0,0.0
2009-07-15,-2.576833,0.0,0.0
2009-07-16,-2.775051,0.0,0.0
2009-07-17,-2.718417,0.0,0.0
2009-07-18,-2.60515,0.0,0.0
2009-07-19,-2.293665,0.0,0.0
2009-07-20,-2.293665,0.0,0.0
